epoch,train_loss,train_acc,val_loss,val_acc
1,0.2935785934726397,0.9174833333333333,0.1073161282658577,0.9671
2,0.15043799508412678,0.9553333333333334,0.08719473072811962,0.9742
3,0.12345162573655447,0.9621166666666666,0.07435878246948123,0.9765
4,0.10909169004460176,0.96735,0.06943813228160142,0.9796
5,0.09637069404199719,0.9700833333333333,0.057758258388377726,0.9813
6,0.0696015226299564,0.9789166666666667,0.05014385160785168,0.9847
7,0.06218747430716952,0.9809,0.04941389829525724,0.9848
8,0.05958489004435639,0.9813666666666667,0.04635869234101847,0.9852
9,0.05475594316149751,0.9825833333333334,0.05048212097294163,0.9838
10,0.053043424199149015,0.9831833333333333,0.04961071484819986,0.9846
